polarity,homeless_trend
0.7088,368
0.7088,368
0.7088,368
0.8126,368
0.8126,368
0.8126,368
0.5994,2024
0.5994,2024
0.5994,2024
0.7708,-9
0.7708,-9
0.7708,-9
0.8811,2024
0.8811,2024
0.8811,2024
0.7906,2024
0.7906,2024
0.7906,2024
0.5719,10
0.5719,10
0.5719,10
0.7906,2024
0.7906,2024
0.7906,2024
0.5562,2024
0.5562,2024
0.5562,2024
0.5562,1624
0.5562,1624
0.5562,1624
0.5994,32
0.5994,32
0.5994,32
0.6696,-140
0.6696,-140
0.6696,-140
0.6249,-9
0.6249,-9
0.6249,-9
0.5719,368
0.5719,368
0.5719,368
0.5719,368
0.8779,2024
0.8779,2024
0.8779,2024
0.8779,2024
0.5859,-9
0.5859,-9
0.5859,-9
0.5859,-9
0.6467,10
0.6467,10
0.6467,10
0.6467,10
0.7932,10
0.7932,10
0.7932,10
0.7932,10
0.763,115
0.763,115
0.763,115
0.763,115
0.7424,2024
0.7424,2024
0.7424,2024
0.7424,2024
0.5859,2024
0.5859,2024
0.5859,2024
0.5859,2024
0.8066,-9
0.8066,-9
0.8066,-9
0.8066,-9
0.7865,3129
0.7865,3129
0.7865,3129
0.7865,3129
0.7156,2024
0.7156,2024
0.7156,2024
0.7156,2024
0.9062,-170
0.9062,-170
0.9062,-170
0.9062,-170
0.5574,-9
0.5574,-9
0.5574,-9
0.5574,-9
0.5859,2024
0.5859,2024
0.5859,2024
0.5859,2024
0.7896,-30
0.7896,-30
0.7896,-30
0.7896,-30
0.658,-9
0.658,-9
0.658,-9
0.658,-9
0.6369,2582
0.6369,2582
0.6369,2582
0.6369,2582
0.6996,120
0.6996,120
0.6996,120
0.6996,120
0.5859,2024
0.5859,2024
0.5859,2024
0.5859,2024
0.5574,-9
0.5574,-9
0.5574,-9
0.5574,-9
0.6249,2024
0.6249,2024
0.6249,2024
0.6249,2024
0.6369,368
0.6369,368
0.6369,368
0.6369,368
0.6124,-9
0.6124,-9
0.6124,-9
0.6124,-9
0.7283,47
0.7283,47
0.7283,47
0.7283,47
0.7633,-9
0.7633,-9
0.7633,-9
0.7633,-9
0.6588,-9
0.6588,-9
0.6588,-9
0.6588,-9
0.9001,368
0.9001,368
0.9001,368
0.9001,368
0.5994,2024
0.5994,2024
0.5994,2024
0.5994,2024
0.6369,2024
0.6369,2024
0.6369,2024
0.6369,2024
0.5093,120
0.5093,120
0.5093,120
0.5093,120
0.5994,2024
