"polarity","homeless","homeless_trend","food_group"
"0.0","4","-9","0"
"0.1027","4","-9","1"
"0.5106","4","-9","3"
"0.0","4","-9","2"
"0.0","4","-9","2"
"0.123","4","-9","1"
"0.0","4","-9","1"
"0.0","750","120","2"
"0.1027","4","-9","1"
"0.5096","4","-9","2"
"0.5719","4","-9","4"
"0.7639","4","-9","2"
"0.1027","4","-9","1"
"0.7351","4","-9","1"
"0.2914","4","-9","1"
"0.0","4","-9","2"
"0.7003","497","115","2"
"0.0","4","-9","1"
"0.1027","4","-9","1"
"0.0","4","-9","2"
"0.5411","4","-9","0"
"0.7906","4","-9","1"
"0.3612","497","115","2"
"0.0","4","-9","0"
"0.5719","4","-9","2"
"0.0","4","-9","0"
"-0.1655","4","-9","2"
"0.0","4","-9","0"
"0.5859","4","-9","1"
"0.0","4","-9","2"
"-0.296","4","-9","1"
"0.5719","4","-9","4"
"0.6696","4","-9","2"
"0.2225","4","-9","0"
"-0.296","4","-9","1"
"0.0","4","-9","2"
"0.0","4","-9","2"
"0.7177","4","-9","0"
"-0.296","4","-9","1"
"0.0","4","-9","3"
"0.6908","4","-9","1"
"-0.296","4","-9","1"
"0.5719","4","-9","2"
"0.6696","4","-9","0"
"0.0","309","42","2"
"0.7125","4","-9","0"
"0.4404","4","-9","1"
"0.7717","4","-9","4"
"-0.296","4","-9","1"
"0.0","4","-9","3"
"0.4019","4","-9","1"
"0.0","192","24","2"
"0.0","4","-9","3"
"0.0","4","-9","4"
"0.4588","4","-9","2"
"-0.296","4","-9","1"
"0.0","4","-9","0"
"0.4404","4","-9","2"
"0.0","4","-9","2"
"-0.6486","4","-9","1"
"0.4404","4","-9","2"
"0.0","4","-9","2"
"0.0","4","-9","2"
"0.7823","4","-9","2"
"-0.6486","4","-9","1"
"0.4019","4","-9","2"
"0.0","4","-9","1"
"0.0516","4","-9","1"
"0.4019","4","-9","3"
"-0.3687","4","-9","1"
"0.0","4","-9","0"
"0.7717","4","-9","4"
"0.0258","4","-9","1"
"0.3818","4","-9","0"
"0.1027","4","-9","1"
"0.4404","4","-9","3"
"0.7901","4","-9","2"
"0.0","4","-9","0"
"0.8475","4","-9","2"
"0.1027","4","-9","1"
"0.6696","4","-9","0"
"-0.296","4","-9","1"
"-0.8126","4","-9","0"
"0.5994","174","16","1"
"-0.765","9","-21","4"
"0.3465","4","-9","0"
"0.0","4","-9","2"
"0.5994","4","-9","1"
"0.0","4","-9","1"
"0.3818","497","115","1"
"0.0","4","-9","1"
"0.0","4","-9","1"
"-0.296","4","-9","1"
"0.1027","4","-9","1"
"0.5859","4","-9","4"
"0.0","4","-9","2"
"0.4588","1942","427","2"
"0.0","4","-9","2"
"0.0","4","-9","2"
"-0.6486","4","-9","1"
"0.0","497","115","1"
"-0.1786","4","-9","1"
"-0.296","4","-9","1"
"-0.3182","4","-9","2"
"0.4019","4","-9","1"
"-0.296","4","-9","1"
"0.4404","4","-9","1"
"0.1531","4","-9","0"
"0.6869","4","-9","2"
"-0.3182","4","-9","2"
"-0.296","4","-9","1"
"0.0","4","-9","2"
"0.6249","4","-9","1"
"0.5106","4","-9","2"
"0.34","1942","427","1"
"0.0","4","-9","2"
"0.4005","9","-21","2"
"-0.3818","4","-9","0"
"0.9094","4","-9","2"
"0.0","4","-9","2"
"-0.296","4","-9","1"
"0.4019","4","-9","2"
"0.7506","4","-9","1"
"-0.296","4","-9","1"
"-0.4585","4","-9","4"
"0.0","4","-9","2"
"0.0","4","-9","2"
"0.128","4","-9","0"
"0.0","497","115","1"
"0.0","4","-9","2"
"0.0","4","-9","0"
"0.3804","497","115","0"
"0.5423","4","-9","1"
"0.4588","1942","427","0"
"0.765","4","-9","1"
"-0.296","4","-9","1"
"-0.296","4","-9","0"
"0.3182","4","-9","1"
"0.0","4","-9","2"
"0.0","4","-9","0"
"0.6114","4","-9","2"
"0.5719","4","-9","2"
"0.4215","4","-9","1"
"0.0","497","115","0"
"0.0","4","-9","1"
"0.6369","4","-9","2"
"0.0772","4","-9","0"
"0.0","4","-9","2"
"0.5267","4","-9","1"
"0.0","497","115","1"
"0.7713","4","-9","2"
"0.0","4","-9","0"
"-0.3182","4","-9","1"
"0.0","4","-9","1"
"0.5719","4","-9","2"
"-0.2732","4","-9","1"
"0.872","4","-9","0"
"0.5994","44","-48","2"
"0.0","4","-9","0"
"-0.5216","4","-9","0"
"0.7506","4","-9","0"
"0.7384","4","-9","2"
"0.4404","4","-9","2"
"0.0","4","-9","2"
"0.0","4","-9","4"
"0.0","4","-9","2"
"0.0","4","-9","2"
"0.9199","4","-9","2"
"0.2023","4","-9","1"
"0.0","4","-9","1"
"0.4404","4","-9","1"
"-0.6486","4","-9","1"
"0.0","4","-9","2"
"0.7959","4","-9","1"
"0.0","4","-9","4"
"-0.296","4","-9","1"
"0.3182","4","-9","1"
"-0.4019","4","-9","1"
"0.0","4","-9","2"
"0.6705","4","-9","4"
"0.0","4","-9","2"
"0.0","309","42","2"
"-0.3182","4","-9","2"
"0.0","4","-9","2"
"0.0","4","-9","2"
"0.3612","497","115","0"
"0.6542","4","-9","1"
"-0.296","4","-9","1"
"0.802","4","-9","2"
"0.0","4","-9","2"
"0.0","4","-9","2"
"-0.6486","4","-9","1"
"0.5106","4","-9","4"
"0.0","4","-9","1"
"0.6705","4","-9","1"
"-0.2411","750","120","3"
"0.0","4","-9","0"
"0.0","4","-9","2"
"0.4588","497","115","0"
"-0.296","4","-9","1"
"0.0","4","-9","2"
"0.0","4","-9","2"
"0.0","4","-9","2"
"0.0","4","-9","2"
"0.0","4","-9","2"
"-0.296","4","-9","1"
"-0.1027","497","115","4"
"0.0","4","-9","2"
"0.0","4","-9","4"
"0.4572","4","-9","4"
"-0.296","4","-9","1"
"0.0","4","-9","1"
"0.802","4","-9","1"
"0.6476","4","-9","4"
"0.0","4","-9","1"
"-0.4939","4","-9","2"
"0.0","192","24","1"
