polarity,homeless,homeless_trend
0.5994,1166,426
0.5994,1166,426
0.5994,1166,426
0.5994,709,-241
0.5994,709,-241
0.5994,709,-241
0.5267,36,13
0.5267,36,13
0.5267,36,13
0.5859,4,-9
0.5859,4,-9
0.5859,4,-9
0.6369,456,149
0.6369,456,149
0.6369,456,149
0.836,1708,368
0.836,1708,368
0.836,1708,368
0.6249,1708,368
0.6249,1708,368
0.6249,1708,368
0.6124,4,-9
0.6124,4,-9
0.6124,4,-9
0.75,165,44
0.75,165,44
0.75,165,44
0.7081,750,120
0.7081,750,120
0.7081,750,120
0.7088,1708,368
0.7088,1708,368
0.7088,1708,368
0.8126,1708,368
0.8126,1708,368
0.8126,1708,368
0.5994,5061,2024
0.5994,5061,2024
0.5994,5061,2024
0.7708,4,-9
0.7708,4,-9
0.7708,4,-9
0.8811,5061,2024
0.8811,5061,2024
0.8811,5061,2024
0.7906,5061,2024
0.7906,5061,2024
0.7906,5061,2024
0.5719,13,10
0.5719,13,10
0.5719,13,10
0.7906,5061,2024
0.7906,5061,2024
0.7906,5061,2024
0.5562,5061,2024
0.5562,5061,2024
0.5562,5061,2024
0.5562,5813,1624
0.5562,5813,1624
0.5562,5813,1624
0.5994,231,32
0.5994,231,32
0.5994,231,32
0.6696,1599,-140
0.6696,1599,-140
0.6696,1599,-140
0.6249,4,-9
0.6249,4,-9
0.6249,4,-9
0.5719,1708,368
0.5719,1708,368
0.5719,1708,368
0.5719,1708,368
0.8779,5061,2024
0.8779,5061,2024
0.8779,5061,2024
0.8779,5061,2024
0.5859,4,-9
0.5859,4,-9
0.5859,4,-9
0.5859,4,-9
0.6467,13,10
0.6467,13,10
0.6467,13,10
0.6467,13,10
0.7932,13,10
0.7932,13,10
0.7932,13,10
0.7932,13,10
0.763,497,115
0.763,497,115
0.763,497,115
0.763,497,115
0.7424,5061,2024
0.7424,5061,2024
0.7424,5061,2024
0.7424,5061,2024
0.5859,5061,2024
0.5859,5061,2024
0.5859,5061,2024
0.5859,5061,2024
0.8066,4,-9
0.8066,4,-9
0.8066,4,-9
0.8066,4,-9
0.7865,3129,3129
0.7865,3129,3129
0.7865,3129,3129
0.7865,3129,3129
0.7156,5061,2024
0.7156,5061,2024
0.7156,5061,2024
0.7156,5061,2024
0.9062,240,-170
0.9062,240,-170
0.9062,240,-170
0.9062,240,-170
0.5574,4,-9
0.5574,4,-9
0.5574,4,-9
0.5574,4,-9
0.5859,5061,2024
0.5859,5061,2024
0.5859,5061,2024
0.5859,5061,2024
0.7896,75,-30
0.7896,75,-30
0.7896,75,-30
0.7896,75,-30
0.658,4,-9
0.658,4,-9
0.658,4,-9
0.658,4,-9
0.6369,2582,2582
0.6369,2582,2582
0.6369,2582,2582
0.6369,2582,2582
0.6996,750,120
0.6996,750,120
0.6996,750,120
0.6996,750,120
0.5859,5061,2024
0.5859,5061,2024
0.5859,5061,2024
0.5859,5061,2024
0.5574,4,-9
0.5574,4,-9
0.5574,4,-9
0.5574,4,-9
0.6249,5061,2024
0.6249,5061,2024
0.6249,5061,2024
0.6249,5061,2024
0.6369,1708,368
0.6369,1708,368
0.6369,1708,368
0.6369,1708,368
0.6124,4,-9
0.6124,4,-9
0.6124,4,-9
0.6124,4,-9
0.7283,251,47
0.7283,251,47
0.7283,251,47
0.7283,251,47
0.7633,4,-9
0.7633,4,-9
0.7633,4,-9
0.7633,4,-9
0.6588,4,-9
0.6588,4,-9
0.6588,4,-9
0.6588,4,-9
0.9001,1708,368
0.9001,1708,368
0.9001,1708,368
0.9001,1708,368
0.5994,5061,2024
0.5994,5061,2024
0.5994,5061,2024
0.5994,5061,2024
0.6369,5061,2024
0.6369,5061,2024
0.6369,5061,2024
0.6369,5061,2024
0.5093,750,120
0.5093,750,120
0.5093,750,120
0.5093,750,120
0.5994,5061,2024
0.5994,5061,2024
0.5994,5061,2024
0.5994,5061,2024
0.5106,5061,2024
0.5106,5061,2024
0.5106,5061,2024
0.5106,5061,2024
0.6249,497,115
0.6249,497,115
0.7184,4,-9
0.7184,4,-9
0.908,5061,2024
0.908,5061,2024
0.5256,4,-9
0.5256,4,-9
0.7579,5061,2024
0.7579,5061,2024
0.6908,4,-9
0.6908,4,-9
0.7003,183,183
0.7003,183,183
0.5106,672,189
0.5106,672,189
0.6369,4,-9
0.5574,0,-403
0.6369,4,-9
0.5574,0,-403
0.6908,4,-9
0.6908,4,-9
0.7003,4,-9
0.7003,4,-9
0.5367,20,-2
0.5367,20,-2
0.5267,5061,2024
0.5267,5061,2024
0.5411,1708,368
